cat_comment_time,cat_user_comment,cat_user_name
2019-03-14,景色还不错，里面有很多历史人物的故事。,帅翻全场就是我
2019-03-04,八一起义纪念馆不用门票，只要身份证就可以进去了。里面通过实物，油画，沙盘等方式介绍了南昌起义的历史和中国共产党的发展史。，是一个爱国主义教育的地方。参观的游客挺多的。最吸引人的是有一段大约3分钟的虚拟现实场景展示,M22****1684
2019-03-03,照片，文字说明多，实物相对不多，没见到多少讲解人员，亏得对那段历史比较熟悉，否则，基本白跑，有人在找毛主席，有人把周总理当成刘少奇，这个红色基地发挥的作用太小了。,先秦风月
2019-03-02,"八一南昌起义常简称南昌起义或者八一起义，指在1927年8月1日中共联合国民党左派，打响了武装反抗国民党反动派的第一枪，揭开了中国共产党独立领导武装斗争和创建革命军队的序幕。
1927年8月1日，中国共产党领导部分国民革命军在江西省南昌市举行的武装起义。
起义由周恩来、贺龙、叶挺、朱德、刘伯承、谭平山领导。1933年7月11日，中华苏维埃共和国临时中央政府根据中央革命军事委员会6月30日的建议，决定8月1日为中国工农红军成立纪念日。从此，8月1日成为中国工农红军和后来的中国人民解放军的建军节。",武汉老龙
2019-02-19,不收门票，但是要出示身份证。春节期间去的，还小排了一会儿队。展馆面积不大，主要陈列八一起义的事情。遗址小楼刚刷了新漆，味道还很大。,安安静静
2019-02-14,纪念馆很有意义，来南昌必须打卡的地方，在一楼有小电影可以观看，需要静等,M30****8312
2019-02-13,这里不用买门票凭身份证直接就可以进去了。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。,小青菜鸟
2019-02-10,爱国教育机地！带小孩去感受一下！了解历史，知道今天幸福生活来之不易！无数人的付出！流血！牺牲！才能换来的生活！要学会感恩，,_WeCh****98211
2019-02-09,八一纪念馆就是民国时期的江西大旅社，起义期间临时用作指挥部。在大旅社后面有新建的纪念展厅，详细介绍了八一起义的前因后果等情况。,沧海一声呵呵笑
2019-02-05,这是来南昌必去的地方，不仅记录了革命的历史，也是我们缅怀先烈的地方，很有教育意义。以前是用身份证领取免费门票，现在是直接刷身份证就进入了。,懒人旅游
