cat_comment_time,cat_user_comment,cat_user_name
2019-03-14,晚上没什么好玩的项目，而且里面的物价很贵,曲终月难圆丶
2019-03-13,很刺激。很好玩。很热闹。哈哈哈哈哈哈,_CFT01****2451070
2019-03-11,竹林绿蟒和云霄飞车实在值得票钱，基本代表中国过山车顶尖水平。除此之外和普通游乐园无太大差异，淡季去人也非常少，表演什么很难调动起气氛。但是工作人员的态度都非常热情，值得点赞,M30****4098
2019-03-06,好玩好玩好玩好玩好玩好玩真刺激,320****051
2019-03-06,呜呜呜 好恐怖 不过女朋友很喜欢,320****051
2019-03-05,特别特别特别特别特别特别特别好玩,159****7119
2019-03-02,这里过山车等刺激项目比较多，可以释放压力，,偶尔
2019-03-02,小孩子玩挺好，有个儿童乐园，可以在里面玩2-3小时，,偶尔
2019-03-02,鱼跃龙门超好玩哈哈哈哈哈,_WeCh****167458
2019-03-02,热，累，嗨，哈哈哈哈哈哈哈哈哈哈,菟菟_喵
2019-03-02,******************,M30****1614
2019-02-28,差劲，项目很少很少，提供的餐饮服务又贵又少，总之是太亏了！,果果妈妈娟子
2019-02-28,1不允许带任何食物进去，2景区里的餐食真又贵又不好吃！3很多设施不开，4里面增加了太多二次收费项目。4缺少互动性。,阿龙
2019-02-26,融创主题公园挺好玩的，非常不错。,changstar
2019-02-22,那天放假，人挺多的，排队好久，不过还是玩了很多项目,淡淡的一份傲
2019-02-21,体验感一般，很多项目不是节假日人多就不开,138****5575
2019-02-17,大家千万不要冬天前往！！！整个园子冷冷清清什么也没有。几乎每什么游客，很多设施不开，体验巨差，感觉买了张假票,噶伦堡夏侯霸
2019-02-17,****************,M25****9325
2019-02-17,不错 很实惠 推荐。。。。。。,M25****9325
2019-02-16,很开心很快的，想要下次继续去玩,M30****5723
2019-02-14,玩的都不开 开的都另外收费多 很过分耶 ,巴杰康里脱脱
2019-02-14,得了吧我2月12日去的，距离南昌西站很近，就在后面，隔壁万达茂，附近坐车非常不方便，而且人烟稀少，谁去谁后悔，反正都是当地居民带孩子去的，旅客建议别去,M30****8312
2019-02-13,"很好玩
           ",M24****9782
2019-02-12,其实4点去反而不用排很多的队 最起码可以玩3个大项目 就看自己怎么选了,木京亦
2019-02-12,首度实现世界级主题乐园元素与中国传统文化的融合，多项设备全球专利、万达专属。南昌万达主题乐园由竹林秘境、云霄仙阁、鄱阳渔家、五彩瓷都、仙女奇缘、世外桃源六大主题区组成。,徐霞客之旅
2019-02-11,项目都比较惊险，不适合老人小孩，有几个在维修，门票再卖原价就不大合理了。,268****468
2019-02-10,玩了一整天，表演也不错！午餐还有礼物送！,118****272
2019-02-10,游玩还是挺开心的，就是价格有点贵。。。。。,M55****538
2019-02-10,还可以，玩还不错，也不用排长队,_U4****4509
2019-02-10,挺好玩的，就是我没看到租车的有点失策！然后有些小小朋友玩的没开,_U4****4509
2019-02-10,不好玩哦，园区里面去还有很多项目收费的，门票很贵了,E20****34
2019-02-08,好高好高(✪▽✪)好好好好好好,永叔路LHX
2019-02-08,还不错呦，女儿放假和同学去玩，人少,Apple
2019-02-08,冷成狗，差点分手，真成单身狗了，,M25****5902
2019-02-08,正好赶上做活动，两张票才200出头，去的时候也不是旺季，不怎么需要排队，两个小时就全部玩完了，整体感觉乐园各项设施之间比较拥挤，有种为了建乐园而建的感觉，少了乐园该有的互动的趣味性，就是玩完了走人,m70****46
2019-02-08,网上订票更优惠，取票就在大门口，有专门的取票点，还是很方便的,m70****46
2019-02-07,一直觉得在携程买票很方便，会继续坚持在携程买票，方便而且省钱！,320****761
2019-02-07,N个设施暂停营业，N个餐厅暂停营业。设备保养差，跑冒滴漏很多，清洁化做到不好，看起来脏脏的。带了小孩租电瓶车，交车时不提醒验车，还车时说扶手撞破了，陪钱。工作人员大言不惭说才营业三天。景区服务配套设施有待提高，青花瓷格局配西洋曲风。诟病下:收费项目是所有乐园(迪斯尼、欢乐谷、长隆、方特等)最多，没有之一，真是最多。二次收费项目真的很LOW。王总当年带鲁豫视察还说超过上海威尼斯，鄙人之见差距不是一点点。望重视……,_WeCh****38333
2019-02-05,非常棒，喷泉音乐剧不要错过，值得一看。,fly****rhj
2019-02-04,好玩，棒棒的！希望更多活动对于家长,M31****410
2019-01-30,挺好玩，周一比较空，孩子玩的很尽兴。,M22****2079
2019-01-29,垃圾，千万别买万达电影乐园，服务态度差，能忽悠就忽悠，联票和单独购买态度，两个样。失望至极。,M32****976
2019-01-29,垃圾，千万别买万达电影乐园，服务态度差，能忽悠就忽悠，联票和单独购买态度，两个样。失望至极。,M32****976
2019-01-28,很有意思。游乐设施一应俱全，很赞,微笑足以
2019-01-27,园子很大 但是没有那种乐趣感 和迪士尼还是有差距啊,珋家萌狸
2019-01-26,如果不做那三个过山车，那一圈下来最大的亮点就是“没有亮点”，这天没有什么需要排队，因为真没有啥人，10点入园，前一小时基本啥没有玩，不是设备故障，是人少不开...，里面也没有什么吃的，也不让带吃的，不要说跟迪斯尼比了，比方特也....，不会想来第二次，一天下来没啥让感觉记忆犹新，不好玩,M35****800
2019-01-25,无聊至极，人少的可怜好些项目还停了，一百八真心不值。,_CFT0****8201
2019-01-25,很棒，游乐设施很好玩，音乐会也很棒，就是人多，排队耗时较长,M29****7028
2019-01-21,在南昌最难忘的记忆！！！！！！,286****275
2019-01-19,"  万达集团在南昌的商业广场设计非常漂亮，青花瓷设计很独特。
分好几个主题乐园➕百货参饮，一站式服务。真的很不错。",109****851
2019-01-17,乐园没啥太大的特色，就玩乐项目和体验度来说，还可以，至少就票价来说，还是性价比算不错的。已经老了，连坐过山车都感觉吃不消了。只能晚一点不刺激的项目。,工匠
2019-01-08,去的时候人不是很多玩的非常痛快,_WeCh****402915
2019-01-06,元旦新年晚会  大家即欢快 又热烈  充满对新年 新的希望 新的愿景,M29****4587
